1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.67
0.64,0.00,0.00,0.00,0.00,0.00,0.09,1.00
0.23,0.00,0.00,0.27,0.00,0.00,0.09,1.00
0.19,0.00,0.07,0.47,0.00,0.00,0.29,1.00
0.04,0.00,0.20,0.33,0.00,0.07,0.02,1.00
0.42,0.00,0.00,0.13,0.00,0.00,0.03,1.00
0.48,0.00,0.00,0.07,0.00,0.00,0.51,0.67
0.60,0.00,0.00,0.00,0.00,0.00,0.92,1.00
0.88,0.00,0.00,0.00,0.00,0.00,0.29,0.67
0.27,0.00,0.00,0.40,0.00,0.00,0.00,1.00
1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67
0.11,0.00,0.20,0.07,0.00,0.00,0.06,1.00
0.56,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.17,0.00,0.07,0.20,0.00,0.00,0.09,1.00
0.13,0.00,0.13,0.13,0.00,0.00,0.05,1.00
0.67,0.00,0.00,0.00,0.00,0.00,0.45,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00
0.27,0.00,0.00,0.27,0.00,0.00,0.12,1.00
0.46,0.00,0.00,0.07,0.00,0.00,0.91,1.00
0.11,0.00,0.13,0.13,0.00,0.00,0.09,1.00
0.30,0.00,0.00,0.40,0.00,0.00,0.05,1.00
0.09,0.00,0.07,0.07,0.07,0.00,0.08,0.67
0.73,0.00,0.00,0.00,0.00,0.00,0.14,1.00
0.12,0.00,0.07,0.13,0.00,0.00,0.11,1.00
0.10,0.00,0.07,0.00,0.07,0.00,0.08,0.67
0.20,0.00,0.00,0.27,0.00,0.00,0.05,1.00
0.59,0.00,0.00,0.00,0.00,0.00,0.71,1.00
0.61,0.00,0.00,0.00,0.00,0.00,0.14,1.00
0.71,0.00,0.00,0.00,0.00,0.00,0.27,0.67
0.30,0.00,0.00,0.60,0.00,0.00,1.00,0.00
0.70,0.00,0.00,0.00,0.00,0.00,0.37,0.67
0.74,0.00,0.00,0.00,0.00,0.00,0.45,1.00
0.08,0.00,0.33,0.13,0.13,0.00,0.02,1.00
0.14,0.00,0.13,0.27,0.00,0.00,0.01,1.00
0.08,0.00,0.13,0.33,0.07,0.00,0.04,0.67
0.45,0.00,0.00,0.13,0.00,0.00,0.03,1.00
0.03,0.00,0.20,0.33,0.00,0.07,0.02,1.00
0.39,0.00,0.00,0.13,0.00,0.00,0.03,1.00
0.79,0.00,0.00,0.00,0.00,0.00,0.84,0.67
0.05,0.00,0.27,0.27,0.07,0.00,0.04,1.00
0.02,0.00,0.00,0.13,0.00,0.07,0.11,1.00
0.64,0.00,0.00,0.00,0.00,0.00,0.19,1.00
0.39,0.00,0.00,0.20,0.00,0.00,0.03,1.00
0.03,0.00,0.00,0.07,0.07,0.07,0.08,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.02,0.67
0.03,0.00,0.00,0.00,0.07,0.07,0.08,0.67
0.59,0.00,0.00,0.00,0.00,0.00,0.20,1.00
0.15,0.00,0.13,0.13,0.00,0.00,0.05,1.00
0.02,0.00,0.07,0.33,0.13,0.07,0.04,1.00
0.02,0.00,0.07,0.13,0.00,0.07,0.22,1.00
0.24,0.00,0.00,0.53,0.00,0.00,0.07,0.67
0.13,0.00,0.13,0.13,0.00,0.00,0.21,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.71,1.00
1.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00
0.14,0.00,0.20,0.40,0.00,0.00,0.05,0.67
1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.67
1.00,0.00,0.00,0.00,0.00,0.00,0.16,1.00
0.67,0.00,0.00,0.00,0.00,0.00,0.99,0.67
0.23,0.00,0.00,0.13,0.00,0.00,0.15,0.67
0.60,0.00,0.00,0.00,0.00,0.00,0.27,0.67
0.27,0.00,0.00,0.40,0.00,0.00,0.00,1.00
0.46,0.00,0.00,0.07,0.00,0.00,1.00,0.67
0.09,0.00,0.40,0.13,0.07,0.00,0.02,1.00
0.23,0.00,0.00,0.27,0.00,0.00,0.01,1.00
0.17,0.00,0.20,0.40,0.00,0.00,0.05,0.67
0.17,0.00,0.13,0.00,0.00,0.00,0.16,1.00
0.42,0.00,0.00,0.20,0.00,0.00,0.16,1.00
